Ticker;Nome do ativo / Código de negociação;CNPJ;Custódia corretora;CNPJ corretora;Preço Médio;Quantidade;Saldo em 31/12/2022;Saldo em 31/12/2023;País
JSRE11;FII JS REAL CI;13.371.132/0001-71;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 87,00;6;R$ 522,00;R$ 522,00;BR
KNCR11;FII KINEA RICI ES;16.706.958/0001-32;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 102,58;10;R$ 0,00;R$ 1.025,80;BR
KFOF11;FII KINEAFOFCI;30.091.444/0001-40;MODAL DTVM;05.389.174/0001-01;R$ 105,98;0;R$ 1.059,80;R$ 0,00;BR
KFOF11;FII KINEAFOFCI;30.091.444/0001-40;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 94,00;10;R$ 0,00;R$ 940,00;BR
MAXR11;FII MAX RET CI;11.274.415/0001-70;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 86,40;19;R$ 1.641,60;R$ 1.641,60;BR
VILG11;FII VINCI LGCI;24.853.044/0001-22;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 98,25;10;R$ 0,00;R$ 982,50;BR
JPMC34;JPMORGAN DRN;;MODAL DTVM;05.389.174/0001-01;R$ 58,36;0;R$ 5.836,00;R$ 0,00;BR
JPMC34;JPMORGAN DRN;;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 74,99;100;R$ 0,00;R$ 7.499,00;BR
ROXO34;NU HOLDINGS DRN;24.410.913/0001-44;NU INVEST CTVM;62.169.875/0001-79;R$ 8,36;322;R$ 2.691,92;R$ 2.691,92;BR
XPBR31;XP INC DR1;;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 114,43;2;R$ 0,00;R$ 228,86;BR
